date,Asset A,Asset B,Market
09/12/2022,-0.536738874,-0.092178662,0.01843525
12/12/2022,-3.344113962,-1.233297048,-0.21316486
13/12/2022,-0.670106782,-0.377204515,0.079977194
14/12/2022,-0.901671437,-0.77508916,-0.51674461
15/12/2022,-0.183158904,0.313333077,0.281410408
16/12/2022,-0.677894238,-2.136486681,-1.681649906
19/12/2022,-0.622332981,-0.592373059,-0.593617884
20/12/2022,-0.469997256,-0.054499786,-0.246844789
21/12/2022,-0.643836561,-0.97867822,-0.691714306
22/12/2022,-0.778799688,-0.87172441,-0.509476908
23/12/2022,-0.145441704,-0.611956763,-0.790709634
26/12/2022,0,0,0
27/12/2022,-0.213070458,0.089774378,-0.262186712
28/12/2022,-0.568288344,-0.507950876,0.11783718
29/12/2022,-0.261468868,-0.356595777,0.225073684
30/12/2022,-0.677525758,-1.288122963,-0.855910342
02/01/2023,-0.22785943,-0.193392288,0.064445661
03/01/2023,-0.328555801,-0.544187332,-0.435193828
04/01/2023,-0.4223623,-0.986560266,-0.679850402
05/01/2023,0.196648755,0.656240972,0.693958546
06/01/2023,-0.129699347,-0.367074274,-0.271498275
09/01/2023,0.011086261,0.168079932,0.451885723
10/01/2023,-0.515931679,-0.496034695,-0.403168367
11/01/2023,-0.117791683,-0.222653104,-0.453694826
12/01/2023,0.137173395,0.128357309,0.141523553
13/01/2023,0.05945547,0.071377851,-0.19465708
16/01/2023,-0.611173954,-0.979147327,-0.919716071
17/01/2023,0.19579096,0.475472902,0.454251354
18/01/2023,-0.115652164,-0.069934361,0.163347867
19/01/2023,-0.077795147,-0.237041324,-0.099065885
20/01/2023,0.034932108,0.18183255,0.622381424
23/01/2023,-0.242092248,-0.200194532,-0.090840349
24/01/2023,-0.349082806,-0.690804966,-0.7875622
25/01/2023,-0.221607261,-0.34476819,-0.164699042
26/01/2023,0.058479589,0.075357376,-0.190423144
27/01/2023,0.131198332,0.270528496,0.063479701
30/01/2023,-0.0417103,-0.091446406,-0.028216061
31/01/2023,0.362571867,0.649127729,0.236356555
01/02/2023,0.12834817,0.142348006,0.231651149
02/02/2023,-0.152329959,-0.324509313,-0.266785585
03/02/2023,0.115462338,0.253240074,0.091815623
06/02/2023,-0.123962534,-0.159366039,0.023979613
07/02/2023,-0.143529376,-0.259784121,-0.297339992
08/02/2023,-0.151630685,-0.165403565,-0.190077394
09/02/2023,0.098350021,0.107577316,-0.106435003
10/02/2023,0.185170543,0.275241958,0.136596703
13/02/2023,-0.175525539,-0.282176268,-0.254187469
14/02/2023,0.075260999,-0.012218009,0.077680499
15/02/2023,0.10773906,0.216401087,0.268675145
16/02/2023,-0.125824986,-0.222007838,-0.314090131
17/02/2023,-0.190733189,-0.294100901,-0.346919554
20/02/2023,0.099033267,0.171070549,0.097561379
21/02/2023,-0.104242031,-0.099140887,-0.158370131
22/02/2023,0.129799047,0.250497399,0.242882593
23/02/2023,0.012445854,-0.104909365,0.02559617
24/02/2023,0.093717567,0.10824726,0.028359619
27/02/2023,-0.395807185,-0.585821374,-0.455711834
28/02/2023,-0.095155756,-0.061503316,-0.093200517
01/03/2023,-0.013847081,0.091107939,0.052221098
02/03/2023,-0.056494474,-0.11602521,-0.033795013
03/03/2023,-0.104273903,-0.329735357,-0.23243064
06/03/2023,-0.275918573,-0.392687725,-0.361534257
07/03/2023,0.110167941,0.214895847,0.157154554
08/03/2023,0.008776888,-0.125609733,-0.133705538
09/03/2023,0.131947436,0.334851209,0.164759886
10/03/2023,0.613360193,1.148574545,1.219739514
13/03/2023,-0.185914182,-0.43344327,-0.428387515
14/03/2023,-0.547596741,-0.876250213,-0.711910388
15/03/2023,-0.165673868,-0.25151108,-0.169680306
16/03/2023,-0.020468213,0.067624048,0.191936969
17/03/2023,-0.101665608,-0.207851533,-0.199832232
20/03/2023,-0.254732366,-0.442514818,-0.479535246
21/03/2023,0.314880529,0.502733691,0.420515227
22/03/2023,-0.136282727,-0.271217097,-0.333679131
23/03/2023,0.216343659,0.547603525,0.445290796
24/03/2023,-0.252114244,-0.349106909,-0.291640355
27/03/2023,0.124792505,0.124164303,0.201519528
28/03/2023,0.043444772,0.178713433,0.031712509
29/03/2023,-0.096538127,-0.120246373,0.00727885
30/03/2023,-0.112293894,0.059531923,0.115974649
31/03/2023,0.204968377,0.414874242,0.618943568
03/04/2023,0.265101754,0.307522111,0.51302979
04/04/2023,-0.308582051,-0.533873953,-0.70226405
05/04/2023,-0.093298063,-0.226699384,-0.293162906
06/04/2023,-0.163167736,-0.245866449,-0.214994673
07/04/2023,0,0,0
10/04/2023,0,0,0
11/04/2023,0.111821517,0.031585167,0.086156149
12/04/2023,-0.067077371,-0.163845476,-0.124370181
13/04/2023,-0.091860555,-0.085343094,-0.121541158
14/04/2023,-0.087892713,-0.157095221,-0.146997366
17/04/2023,-0.049274703,-0.073229734,-0.003454174
18/04/2023,0.10500572,0.237547883,0.252483459
19/04/2023,-0.127289184,-0.23515954,-0.3864838
20/04/2023,-0.036730709,-0.053775272,0.04289524
21/04/2023,-0.105276067,-0.115825949,-0.0649458
24/04/2023,-0.111984743,-0.053008947,-0.039029094
25/04/2023,-0.082523613,-0.152815589,-0.015147891
26/04/2023,-0.156791371,-0.2256529,-0.212820158
27/04/2023,-0.082961361,-0.01697898,0.081675663
28/04/2023,-0.033454704,-0.106124237,-0.111009423
01/05/2023,0,0,0.05035184
02/05/2023,-0.161919881,-0.137442447,-0.22378746
03/05/2023,-0.133749174,-0.178929285,-0.129147103
04/05/2023,-0.059987247,-0.228170714,-0.196809514
05/05/2023,0.104980358,0.174771997,0.161872729
08/05/2023,0.062384159,0.11497271,0.053132195
09/05/2023,-0.035360009,-0.094130433,-0.164970273
10/05/2023,-0.013366646,-0.053842214,-0.172275199
11/05/2023,0.032934695,0.08740648,0
12/05/2023,-0.161937097,-0.198428632,-0.407340285
15/05/2023,-0.133361037,-0.155196591,-0.083521802
16/05/2023,-0.090493361,-0.052790014,-0.091650508
17/05/2023,-0.002061788,-0.036115669,0.024742847
18/05/2023,-0.152746034,-0.193552292,-0.40968901
19/05/2023,0.057622884,0.167139247,0.074447085
22/05/2023,-0.118774856,-0.256944967,-0.089243856
23/05/2023,-0.169783914,-0.294381821,-0.113012126
24/05/2023,-0.088010646,-0.089034161,-0.261851035
25/05/2023,-0.140671222,-0.356083911,-0.458915542
26/05/2023,-0.036549517,-0.157848315,-0.184678733
29/05/2023,-0.094585088,-0.205790649,0.008391288
30/05/2023,-0.123636182,-0.150255958,0.023968817
31/05/2023,0.075464187,0.179329491,0.327724116
01/06/2023,-0.36950434,-0.623912767,-0.766242117
02/06/2023,0.06189141,0.071056094,0.120350909
05/06/2023,0.83195697,1.510121912,0.991190099
06/06/2023,-0.352286278,-0.527197262,-0.74732517
07/06/2023,0.174105377,0.3741577,0.305346703
08/06/2023,0.033678064,-0.076753161,0.128317173
09/06/2023,0.682978811,1.170351201,1.074987408
12/06/2023,0.097354622,0.132800207,-0.212661504
13/06/2023,0.529530094,0.986738794,1.061422352
14/06/2023,0.379263927,0.525922074,0.477261374
15/06/2023,0.256728488,0.260027444,0.601443903
16/06/2023,-0.744268056,-1.257005109,-1.308861949
19/06/2023,-0.008461132,-0.011772909,-0.023354149
20/06/2023,0.592217927,1.007853298,0.815596948
21/06/2023,-0.436030897,-0.734581664,-0.421369576
22/06/2023,-0.447341742,-0.661263954,-0.571501543
23/06/2023,-0.332139227,-0.610577271,-0.345547826
26/06/2023,-0.206515845,-0.158789409,-0.116507547
27/06/2023,0.154591627,0.332355237,0.558881742
28/06/2023,0.039413952,-0.007780413,-0.084540673
29/06/2023,-0.098681077,-0.116544105,0.236038191
30/06/2023,-0.007106979,0.105082219,0.398525777
03/07/2023,-0.280726276,-0.790368484,-0.720087577
04/07/2023,0.065008571,0.129261359,0.33757907
